alpha,fold,train_start,train_end,val_start,val_end,RMSE,DirectionalAccuracy,SpearmanRankCorr_mean,TopKHitRate_mean,Months_evaluated
0.01,1,2016-01-31,2017-06-30,2017-07-31,2018-12-31,0.0660821420681917,0.4788484136310223,0.040335876008942506,0.20760233918128654,18
0.01,2,2016-01-31,2018-12-31,2019-01-31,2020-06-30,0.1052214302035205,0.5455069124423964,-0.015550648624325909,0.22251461988304091,18
0.01,3,2016-01-31,2020-06-30,2020-07-31,2021-12-31,0.09053584281805167,0.49829931972789115,-0.02061430632859204,0.2222222222222222,18
0.01,4,2016-01-31,2021-12-31,2022-01-31,2023-06-30,0.08306368533750515,0.5174746335963923,-0.010720756906323918,0.2361111111111111,18
0.01,5,2016-01-31,2023-06-30,2023-07-31,2024-12-31,0.07300514529900978,0.48092031425364756,-0.014804507661650519,0.24166666666666664,18
0.1,1,2016-01-31,2017-06-30,2017-07-31,2018-12-31,0.06608211324434858,0.4788484136310223,0.040328776786395175,0.20760233918128654,18
0.1,2,2016-01-31,2018-12-31,2019-01-31,2020-06-30,0.10522142755008523,0.5455069124423964,-0.015550648624325909,0.22251461988304091,18
0.1,3,2016-01-31,2020-06-30,2020-07-31,2021-12-31,0.09053578223798171,0.49829931972789115,-0.020566135440951348,0.2222222222222222,18
0.1,4,2016-01-31,2021-12-31,2022-01-31,2023-06-30,0.08306367508350697,0.5174746335963923,-0.010720756906323918,0.2361111111111111,18
0.1,5,2016-01-31,2023-06-30,2023-07-31,2024-12-31,0.07300510639057237,0.48092031425364756,-0.014804507661650519,0.24166666666666664,18
1.0,1,2016-01-31,2017-06-30,2017-07-31,2018-12-31,0.06608182628031536,0.4788484136310223,0.04040962764954023,0.20760233918128654,18
1.0,2,2016-01-31,2018-12-31,2019-01-31,2020-06-30,0.10522140101228938,0.5455069124423964,-0.015596947385727164,0.22251461988304091,18
1.0,3,2016-01-31,2020-06-30,2020-07-31,2021-12-31,0.09053517709860291,0.49829931972789115,-0.02049104552786438,0.2222222222222222,18
1.0,4,2016-01-31,2021-12-31,2022-01-31,2023-06-30,0.08306357267566654,0.5174746335963923,-0.01076892779396462,0.2361111111111111,18
1.0,5,2016-01-31,2023-06-30,2023-07-31,2024-12-31,0.07300471755363962,0.48092031425364756,-0.014869786298357727,0.24166666666666664,18
10.0,1,2016-01-31,2017-06-30,2017-07-31,2018-12-31,0.06607908051746139,0.4794359576968273,0.040145526536542686,0.2134502923976608,18
10.0,2,2016-01-31,2018-12-31,2019-01-31,2020-06-30,0.10522113528437602,0.5420506912442397,-0.01562406551351619,0.22251461988304091,18
10.0,3,2016-01-31,2020-06-30,2020-07-31,2021-12-31,0.0905291909680782,0.4988662131519274,-0.020288444441610858,0.21944444444444444,18
10.0,4,2016-01-31,2021-12-31,2022-01-31,2023-06-30,0.0830625616864519,0.5163472378804961,-0.010829998561957333,0.2361111111111111,18
10.0,5,2016-01-31,2023-06-30,2023-07-31,2024-12-31,0.07300085376177454,0.48092031425364756,-0.015416752559609706,0.24166666666666664,18
100.0,1,2016-01-31,2017-06-30,2017-07-31,2018-12-31,0.06606119069403352,0.4800235017626322,0.03719824541335035,0.21637426900584794,18
100.0,2,2016-01-31,2018-12-31,2019-01-31,2020-06-30,0.10521843942198597,0.5414746543778802,-0.017294299314969827,0.2195906432748538,18
100.0,3,2016-01-31,2020-06-30,2020-07-31,2021-12-31,0.09047509701939295,0.4971655328798186,-0.020549842346602287,0.22777777777777775,18
100.0,4,2016-01-31,2021-12-31,2022-01-31,2023-06-30,0.08305364604586003,0.5157835400225479,-0.01007070494552085,0.2416666666666667,18
100.0,5,2016-01-31,2023-06-30,2023-07-31,2024-12-31,0.07296451777320685,0.48709315375982043,-0.016176046176046177,0.24166666666666664,18
