date,n_stocks,predicted_top_count,actual_top_count,predicted_bottom_count,actual_bottom_count,top_overlap_count,bottom_overlap_count,top_overlap_rate,bottom_overlap_rate
2025-01-31,93,18,18,18,18,5,4,0.2777777777777778,0.2222222222222222
2025-02-28,93,18,18,18,18,4,4,0.2222222222222222,0.2222222222222222
2025-03-31,92,18,18,18,18,4,4,0.2222222222222222,0.2222222222222222
2025-04-30,92,18,18,18,18,6,4,0.3333333333333333,0.2222222222222222
2025-05-31,93,18,18,18,18,6,4,0.3333333333333333,0.2222222222222222
2025-06-30,94,18,18,18,18,3,2,0.16666666666666666,0.1111111111111111
2025-07-31,94,18,18,18,18,6,5,0.3333333333333333,0.2777777777777778
2025-08-31,94,18,18,18,18,9,3,0.5,0.16666666666666666
2025-09-30,94,18,18,18,18,5,2,0.2777777777777778,0.1111111111111111
2025-10-31,94,18,18,18,18,5,2,0.2777777777777778,0.1111111111111111
2025-11-30,91,18,18,18,18,7,3,0.3888888888888889,0.16666666666666666
