model,months_evaluated,avg_return_selected_best_stocks,avg_return_all_stocks,avg_return_selected_worst_stocks,best_stocks_advantage_over_market_avg,market_advantage_over_worst_stocks,gap_between_best_and_worst_selected_stocks,how_often_best_picks_beat_market_avg,how_often_worst_picks_underperform_market_avg,how_often_best_picks_beat_worst_picks,winner_picking_correctness,loser_picking_correctness
RF daily_ohlcv,11,0.03496926691935717,0.014732680092062038,0.012753540846408583,0.02023658682729514,0.0019791392456534585,0.0222157260729486,0.7272727272727273,0.5454545454545454,0.7272727272727273,0.3686868686868687,0.20707070707070707
RF daily,11,0.03448072921463062,0.01473267969351396,0.011795026910266952,0.01974804952111666,0.0029376527832470065,0.022685702304363665,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.3686868686868687,0.18686868686868685
MLP daily,11,0.02942727684733637,0.01473267969351396,0.013304601017371848,0.014694597153822408,0.0014280786761421095,0.016122675829964517,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.303030303030303,0.18686868686868685
XGBoost daily,11,0.029350810255145788,0.01473267969351396,0.01059807760359661,0.014618130561631833,0.004134602089917348,0.018752732651549177,0.7272727272727273,0.5454545454545454,0.8181818181818182,0.31818181818181823,0.1969696969696969
XGBoost daily_ohlcv,11,0.027553127500602105,0.014732680092062038,0.0054818526433516816,0.012820447408540069,0.009250827448710357,0.022071274857250422,0.7272727272727273,0.6363636363636364,0.7272727272727273,0.297979797979798,0.2222222222222222
Ridge daily,11,0.024694617073861135,0.01473267969351396,0.011325598357269909,0.009961937380347174,0.0034070813362440475,0.01336901871659122,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.29797979797979796,0.19191919191919193
Ridge daily_ohlcv,11,0.02016625646223753,0.014732680092062038,0.013413397634244926,0.00543357637017549,0.0013192824578171117,0.006752858827992603,0.5454545454545454,0.6363636363636364,0.7272727272727273,0.27777777777777773,0.18181818181818182
LSTM,11,0.01669291366271514,0.01456874757669121,0.012945345638647927,0.002124166086023931,0.0016234019380432822,0.0037475680240672137,0.5454545454545454,0.45454545454545453,0.6363636363636364,0.19191919191919193,0.20202020202020202
MLP daily_ohlcv,11,0.015734914559063173,0.014732680092062038,0.01875638415548174,0.0010022344670011373,-0.0040237040634196995,-0.0030214695964185623,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.24747474747474743,0.16161616161616163
